,293,mitoparp,293 + high NAD,mitoparp + high NAD,293 + low NAD,mitoparp + low NAD,subsystem
1PPDCRc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
1PPDCRc_NADPH_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
2HBO,-0.012,0.0,-0.012,0.0,0.0,0.0,Threonine and Methionine degradation
2HBt2,-0.012,0.0,-0.012,0.0,0.0,0.0,Boundary Conditions - Biomarkers
2OXOADOXm,0.03,0.03,0.030000000000000002,0.030000000000000002,0.008603773584905659,0.008603773584905659,Tryptophan / Lysine Metabolism 
34HPPOR,0.0,0.0,0.0,0.0,0.022858823529411765,0.022858823529411765,Tyrosine degradation
3HBCOAHLm,0.011000000000001012,0.011,0.011,0.011,0.002416184971098266,0.0024161849710982956,Valine degradation
3SALATAi,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
3SPYRSP,0.0,0.0,0.0,0.0,0.0,0.0,Cysteine degradation I
4ABUTtm,0.0,0.0,0.0,0.0,0.8481533125361351,0.0,GABA shunt - transport
4aabutn_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
5AOPtm,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
AACTOORm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
AASAD3m,0.0,0.0,0.0,0.0,0.0043018867924528295,0.0043018867924528295,Lysine degradation (saccharopine pathway)
ABTArm,0.0,0.0,0.0,0.0,0.8481533125361351,0.0,GABA shunt
ABUTD,0.0,0.0,0.0,0.0,0.0,0.0,Ornithine degradation (cytosolic)
ACACT10m,0.004,0.004,0.004,0.004,0.002161702127659575,0.002161702127659575,Isoleucine degradation
ACACT1rm,-0.682304347826087,-0.6776739130434728,-0.6823043478260874,-0.6776739130434725,-0.5604710494605712,-0.5007729898107054,FA and ketone body metabolism / Ketogenesis
ACACt2,0.114,0.114,0.114,0.114,0.114,0.03343952224411644,Boundary conditions - core
ACACt2mB_MitoCore,0.114,0.114,0.114,0.114,0.13685882352941175,0.056298345773528206,Mitochondrial transporters - characterised
ACADLC14_MitoCore,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.4044240619416316,FA metabolism
ACADLC16_MitoCore,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.4044240619416316,FA metabolism
ACALDtm,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACCOAC,0.0,0.0,0.0,0.0,0.0,0.07548076923078405,FA synthesis - cytosolic
ACCOALm,0.0,0.0,0.0,0.0,0.0,0.0,Propanoate metabolism
ACITL,0.0,0.0,0.0,0.0,0.0,0.09626373626375319,Reductive carboxylation / Acetyl-CoA production for biosynthesis
ACITLm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,TCA cycle periphery
ACOAHi,0.0,0.0,0.0,0.0,0.0,0.01,Acetate production
ACOATA,0.0,0.0,0.0,0.0,0.0,0.01078296703296915,FA synthesis - cytosolic
ACONT,-0.09600000000016164,0.0,-0.09600000000009294,0.0,-0.09626373626373627,-0.09626373626375319,Reductive carboxylation
ACONTm,6.907434782608816,6.825391304347811,6.907434782608771,6.825391304347808,4.950973570539001,4.8777818406329025,TCA cycle
ACOT2_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Fatty acid elongation in mitochondria
ACSm,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ACt2r,0.0,0.0,0.0,0.0,0.0,-0.01,Boundary Conditions - Biomarkers
ADK1,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561797,0.4044240619416316,Cytosolic misc
ADK1m,0.0,0.0,0.0,0.0,0.006,0.006,TCA cycle periphery
ADNK1,0.0,0.0,0.0,0.0,0.0,0.0,Methionine degradation
ADSL1,0.0,0.0,0.0,0.0,0.0,0.0,Purine Nucleotide Cycle
ADSS,0.0,0.0,0.0,0.0,0.0,0.0,Purine Nucleotide Cycle
AGMTm,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
AHC,0.0,0.0,0.0,0.0,0.0,0.0,Methionine degradation
AKGDm,6.8324347826086544,6.846391304347811,6.8324347826086775,6.846391304347808,4.02755652173913,3.9600268270120256,TCA cycle
AKGMALtm,2.4880000000001616,2.4040000000000243,2.488000000000093,2.4040000000000292,3.738659257139546,2.9587662173074087,Malate aspartate shuttle
AKGt_MitoCore,0.0,0.0,0.0,0.0,0.0,-0.842491277357142,Boundary Conditions - Biomarkers
ALASm,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
ALATA_L,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.009000000000000001,0.7061569838867712,0.009000000000000001,Cytosolic misc
ALAt2r,0.01,0.01,0.01,0.01,0.01,0.01,Boundary conditions - nonessential amino acids
ALCD2if,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALCD2yf,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALDD2x,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
ALDD2xm,0.0,0.0,0.0,0.0,0.0,0.0,Alcohol metabolism
AMCOXO,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
AMCOXO2_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
AMPD1,0.0,0.0,0.0,0.0,0.0,0.0,Purine Nucleotide Cycle
AMPTASECG,0.0,0.0,0.0,0.0,0.0,0.0,Glutathione degradation
AOBUTDsm,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
APAT2rm,0.0,0.0,0.0,0.0,0.0,0.0,Beta-alanine degradation
APRTO2m_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
ARGDCm,0.0,0.0,0.0,0.0,0.0,0.0,Arginine degradation
ARGN,0.007,0.007,0.007,0.007,0.0,0.0,Urea Cycle
ARGNm,0.0,0.0,0.0,0.0,0.007,0.007,Urea Cycle
ARGSL,0.0,0.0,0.0,0.0,0.0,0.0,Urea Cycle
ARGSS,0.0,0.0,0.0,0.0,0.0,0.0,Urea Cycle
ARGSUCt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ARGtiDF,0.007,0.007,0.007,0.007,0.007,0.007,Boundary conditions - nonessential amino acids
ARGtmB_MitoCore,0.0,0.0,0.0,0.0,0.007,0.007,Mitochondrial transporters - characterised
ASNS1,0.0,0.0,0.0,0.0,0.0,0.0,Asparagine synthesis
ASNtm,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - uncharacterised
ASP1DC,0.0,0.0,0.0,0.0,0.0,0.0,Beta-alanine synthesis
ASPGLUmB_MitoCore,2.219,2.2310000000000243,2.219,2.231000000000029,2.8042422083396743,1.8800148750371695,Malate aspartate shuttle
ASPTA,2.383,2.3950000000000244,2.383,2.3950000000000293,2.968242208339676,2.0440148750371696,Malate aspartate shuttle
ASPTAm,-2.219,-2.2310000000000243,-2.219,-2.231000000000029,-2.8042422083396743,-1.8800148750371695,Malate aspartate shuttle
ASPte,-0.154,-0.154,-0.154,-0.154,-0.154,-0.154,Boundary conditions - nonessential amino acids
ATPtmB_MitoCore,99.91685713769179,100.01153264972396,99.91685713769186,100.01153264972396,70.57576953715207,65.79573094457537,Mitochondrial transporters - characterised
BALAtmr,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - uncharacterised
BDHm,0.048,0.048,0.048,0.048,0.016800000000000002,0.016800000000000002,Ketone bodies - degradation
BHBt,0.048,0.048,0.048,0.048,0.016800000000000002,0.016800000000000002,Boundary conditions - core
BHBtmB_MitoCore,0.048,0.048,0.048,0.048,0.016800000000000002,0.016800000000000002,Mitochondrial transporters - uncharacterised
BILIRED,0.0,0.0,0.0,0.0,0.0,0.0,Haem Degradation
BILIRED2_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Haem Degradation
BUTt2mB_MitoCore,0.0,0.0,0.0,0.0,0.006,0.006,Mitochondrial transporters - uncharacterised
BUTt2r,0.0,0.0,0.0,0.0,0.006,0.006,Boundary conditions - alternative fuels
Biomass_MitoCore,-100.87424844203977,-100.882184823637,-100.87424844203976,-100.882184823637,-71.56378433296977,-66.4920688386215,Boundary conditions - core
Biomasst_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transport - diffusion / artificial
C160CPT1,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.4044240619416316,Carnitine shuttle
C160CPT2,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.4044240619416316,Carnitine shuttle
CBPSam,0.0,0.0,0.0,0.0,0.0,0.0,Citrulline biosynthesis
CDSm,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
CHLtmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - uncharacterised
CHOLtu,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
CIII_MitoCore,39.541293836598186,39.541310906484824,39.541293836598186,39.541310906484824,28.83778227675532,26.395555689785517,Electron transport chain
CII_MitoCore,6.832434782608655,6.873391304347836,6.832434782608663,6.873391304347837,4.8757098342752645,3.9737919481533366,Electron transport chain
CITtamB,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
CITtbm,-0.09600000000016164,0.0,-0.09600000000009294,0.0,-0.09626373626373627,0.0,Mitochondrial transporters - characterised
CIV_MitoCore,19.770646918299093,19.770655453242412,19.770646918299093,19.770655453242412,14.41889113837766,13.197777844892759,Electron transport chain
CI_MitoCore,29.35308170090784,29.344546757590265,29.35308170090781,29.344546757590273,21.266297073369348,19.578263412117728,Electron transport chain
CK,0.0,0.0,0.0,0.0,0.0,0.0,Creatine ATP buffer
CKc,0.0,0.0,0.0,0.0,0.0,0.0,Creatine ATP buffer
CLPN_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
CLS_hsm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
CO2t,-16.59086956521739,-16.63678260869569,-16.59086956521739,-16.6367826086957,-12.178192149229407,-10.513222120701625,Boundary conditions - core
CO2tm,-16.63386956521747,-16.63178260869569,-16.633869565217434,-16.6317826086957,-11.350311881295728,-10.382533626842514,Mitochondrial transport - diffusion / artificial
COAtmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
COAtmC_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
COt,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
CPPPGO,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
CREATtmdiffir,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transport - diffusion / artificial
CSm,6.8114347826086545,6.825391304347811,6.811434782608678,6.825391304347808,4.854709834275265,4.8777818406329025,TCA cycle
CV_MitoCore,93.3744223550833,93.35914134537614,93.37442235508328,93.35914134537616,68.32962479719299,62.55896341304455,Electron transport chain
CYANt,0.0,0.0,0.0,0.0,0.001,0.0,Boundary Conditions - Misc
CYANtm,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transport - diffusion / artificial
CYSTA,0.0,0.0,0.0,0.0,0.001,0.0,Cysteine degradation II
CYSTAm,0.001,0.001,0.001,0.001,0.0,0.001,Cysteine degradation II
CYSTGL,0.0,0.0,0.0,0.0,0.0,0.0,Methionine and Serine degradation
CYSTS,0.0,0.0,0.0,0.0,0.0,0.0,Methionine and Serine degradation
CYStec,0.001,0.001,0.001,0.001,0.001,0.001,Boundary conditions - nonessential amino acids
CYTK1m,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
DHFR,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
DHPR,0.0,0.0,0.0,0.0,0.011858823529411765,0.011858823529411765,Phenylalanine degradation
ECOAH12m,0.011,0.011,0.011,0.011,0.002416184971098266,0.0024161849710982956,Valine degradation
ECOAH1m,-0.5043043478260869,-0.49967391304347375,-0.5043043478260892,-0.49967391304347253,-0.398165417420522,-0.4190278355265385,FA metabolism
ECOAH9m,0.004,0.004,0.004,0.004,0.002161702127659575,0.002161702127659575,Isoleucine degradation
ENO,1.81,1.81,1.81,1.81,1.6588743472252139,1.6769305234239373,Glycolysis/gluconeogenesis
ETOHt,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - alternative fuels
FA160ACPH,0.0,0.0,0.0,0.0,0.0,0.010782967032969151,FA synthesis - cytosolic
FACOAL160i,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.4044240619416316,Carnitine shuttle
FACOAL40im,0.0,0.0,0.0,0.0,0.006,0.006,Butanoate metabolism
FBA,0.9,0.9,0.9,0.9,0.8523684210526316,0.8523684210526317,Glycolysis/gluconeogenesis
FBP,0.0,0.0,0.0,0.0,0.0,0.0,Gluconeogenesis
FCLTm,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
FE2t,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
FE2tm,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
FKYNH,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
FOLR2,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
FOLt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
FORt2mB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - uncharacterised
FORt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Misc
FTCD,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,Folate cytosolic
FTHFDH,0.053000000000080816,0.005,0.053000000000046475,0.005,0.05313186813186814,0.1286126373626522,Folate cytosolic
FTHFDHm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
FTHFL,0.0,0.0,0.0,0.0,0.0,0.0,Folate cytosolic
FTHFLm,0.0,0.0,0.0,0.0,0.0,0.0,Folate mitochondrial
FUM,0.0,0.0,0.0,0.0,0.022858823529411765,0.022858823529411765,Cytosolic misc
FUMAC,0.0,0.0,0.0,0.0,0.022858823529411765,0.022858823529411765,Tyrosine degradation
FUMm,6.832434782608655,6.873391304347836,6.832434782608663,6.873391304347837,4.8757098342752645,3.9737919481533366,TCA cycle
FUMt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
FUMtmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - uncharacterised
G3PD1,0.01,0.01,0.01,0.01,0.009718309859536358,0.009718309859154929,Glycerol phosphate shuttle
G5SADrm,-0.004,-0.004,-0.004,-0.004,-0.004,-0.004,Proline degradation/synthesis
G5SDym,0.0,0.0,0.0,0.0,0.0,0.0,Proline synthesis
G6PDH2r,0.0,0.0,0.0,0.0,0.0,0.0,Pentose phosphate pathway
G6PPer,0.0,0.0,0.0,0.0,0.0,0.0,Gluconeogenesis
GAPD,1.81,1.81,1.81,1.81,1.7147368421052631,1.7147368421052633,Glycolysis/gluconeogenesis
GCCam,0.026000000000040407,0.0019999999999999996,0.026000000000023234,0.0019999999999999996,0.02606593406593407,0.0638063186813261,Glycine cleavage system (GCS)
GCCbim,0.026000000000040407,0.0019999999999999996,0.026000000000023234,0.0019999999999999996,0.02606593406593407,0.0638063186813261,Glycine cleavage system (GCS)
GCCcm,0.026000000000040407,0.0019999999999999996,0.026000000000023234,0.0019999999999999996,0.02606593406593407,0.0638063186813261,Glycine cleavage system (GCS)
GHMT2r,0.043000000000080814,-0.005,0.04300000000004647,-0.005,0.04313186813186814,0.11861263736265219,Serine and glycine biosynthesis
GHMT2rm,-0.026000000000040407,-0.0019999999999999996,-0.026000000000023234,-0.0019999999999999996,-0.02606593406593407,-0.0638063186813261,Serine and glycine biosynthesis
GLCt1r,0.9,0.9,0.9,0.9,0.8523684210526316,0.8523684210526317,Boundary conditions - core
GLNS,0.0,0.0,0.0,0.0,0.0,0.0,Glutamine synthesis
GLNtm,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - uncharacterised
GLU5Km,0.0,0.0,0.0,0.0,0.0,0.0,Proline synthesis
GLUCYS,0.0,0.0,0.0,0.0,0.0,0.0,Glutathione synthesis
GLUDC,0.0,0.0,0.0,0.0,0.8481533125361351,0.0,GABA shunt
GLUDxi,0.0,0.0,0.0,0.0,0.0,0.018056176198725016,Glutamate degradation/synthesis - cytosolic
GLUDxm,0.26464691829909265,0.29400000000000004,0.2940000000000005,0.29400000000000004,0.1002142857142857,0.10021428571428428,Glutamate degradation/synthesis
GLUDy,0.0,0.0,0.0,0.0,0.0,0.0,Glutamate degradation/synthesis - cytosolic
GLUDym,0.029353081700907842,0.0,0.0,0.0,0.1002142857142857,0.10021428571428428,Glutamate degradation/synthesis
GLUN_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Glutamine degradation - cytosolic
GLUNm,0.0,0.0,0.0,0.0,0.0,0.0,Glutamine degradation
GLUt2mB_MitoCore,0.18300000000000027,0.18300000000000005,0.18300000000000027,0.18300000000000002,0.0,0.14999632864936108,Mitochondrial transporters - characterised
GLUt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - nonessential amino acids
GLYC3Ptm,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
GLYCt,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,Boundary conditions - alternative fuels
GLYCtm,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transport - diffusion / artificial
GLYK,0.01,0.01,0.01,0.01,0.01,0.01,Cardiolipin synthesis
GLYOXm,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
GLYt2r,0.009,0.009,0.009,0.009,0.009,0.009,Boundary conditions - nonessential amino acids
GLYtm,0.052000000000080815,0.003999999999999999,0.052000000000046474,0.003999999999999999,0.05213186813186814,0.1276126373626522,Mitochondrial transporters - uncharacterised
GND,0.0,0.0,0.0,0.0,0.0,0.0,Pentose phosphate pathway
GPAMm_hsB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Cardiolipin synthesis
GTHO,0.0,0.0,0.0,0.0,0.0,0.0,ROS defense
GTHOm,0.029353081700907842,0.029344546757590267,0.02935308170090781,0.029344546757590274,0.02126629707336935,0.019578263412117727,ROS defense
GTHP,0.0,0.0,0.0,0.0,0.0,0.0,ROS defense
GTHPm,0.029353081700907842,0.029344546757590267,0.02935308170090781,0.029344546757590274,0.02126629707336935,0.019578263412117727,ROS defense
GTHS,0.0,0.0,0.0,0.0,0.0,0.0,Glutathione synthesis
GluForTx,0.01,0.01,0.01,0.01,0.01,0.01,Histidine degradation
H2Ot,-14.971260869565176,-15.026434782608723,-14.971260869565214,-15.02643478260876,-12.400879021980174,-10.748003434819648,Boundary Conditions - Misc
H2Otm,-114.60981365943114,-114.6202935192892,-114.60981365943111,-114.62029351928925,-82.87220383810173,-76.17120196553319,Mitochondrial transport - diffusion / artificial
HACD1m,-0.5043043478260869,-0.49967391304347375,-0.5043043478260892,-0.49967391304347253,-0.398165417420522,-0.4190278355265385,FA metabolism
HACD9m,0.004,0.004,0.004,0.004,0.002161702127659575,0.002161702127659575,Isoleucine degradation
HCO3t_MitoCore,0.016,0.04300000000002348,0.016,0.04300000000002916,1.5108424134762697,0.718760031569134,Boundary conditions - core
HDCAtm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Boundary conditions - core
HDCAtr,0.47430434782608694,0.4696739130434737,0.4743043478260892,0.4696739130434725,0.38356164383561636,0.39364109490866245,Boundary conditions - core
HEX1,0.9,0.9,0.9,0.9,0.8523684210526316,0.8523684210526317,Glycolysis
HGNTOR,0.0,0.0,0.0,0.0,0.022858823529411765,0.022858823529411765,Tyrosine degradation
HIBDm,0.011000000000001012,0.011,0.011,0.011,0.002416184971098266,0.0024161849710982956,Valine degradation
HISD,0.01,0.01,0.01,0.01,0.01,0.01,Histidine degradation
HIStiDF,0.01,0.01,0.01,0.01,0.01,0.01,Boundary conditions - essential amino acids
HKYNH,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
HMBS,0.0,0.0,0.0,0.0,0.0,0.0,Haem Synthesis
HMGCOASim,0.0,0.0,0.0,0.0,0.0,0.0,Ketogenesis
HMGLm,0.016,0.015999999999999043,0.015999999999998155,0.016,0.008646808510637483,0.0086468085106383,Ketogenesis / Leucine degradation
HOXG,0.0,0.0,0.0,0.0,0.0,0.0,Haem Degradation
Hct_MitoCore,2.5613043478261557,2.496673913043516,2.5613043478261317,2.4966739130435416,2.988103974912846,1.29296510979657,Boundary Conditions - Misc
Hmt_MitoCore,-1.9322938365982925,-1.8303109064847944,-1.9322938365982951,-1.830310906484804,-2.606463412257212,-1.7207767518266692,Boundary Conditions - Misc
HtmB_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
ICDHxm,6.907434782608816,6.79604675759022,6.907434782608771,6.825391304347808,5.496728501326535,4.954115976142616,TCA cycle
ICDHy,-0.09600000000016164,0.0,-0.09600000000009294,0.0,-0.09626373626373627,-0.09626373626373627,Reductive carboxylation
ICDHyrm,0.0,0.029344546757590267,0.0,0.0,-0.5457549307875333,-0.07633413550971373,TCA cycle
ICITt_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
ILETAm,0.004,0.004,0.004,0.004,0.002161702127659575,0.002161702127659575,Isoleucine degradation
ILEt5m,0.004,0.004,0.004,0.004,0.002161702127659575,0.002161702127659575,Mitochondrial transporters - uncharacterised
ILEtec,0.004,0.004,0.004,0.004,0.002161702127659575,0.002161702127659575,Boundary conditions - essential amino acids
IZPN,0.01,0.01,0.01,0.01,0.01,0.01,Histidine degradation
KYN3OX,0.0,0.0,0.0,0.0,0.0,0.0,Tryptophan Metabolism 
LDH_Dm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
LDH_L,0.575,0.575,0.575,0.575,0.3718197879858657,0.3718197879858657,Glycolysis/gluconeogenesis
LEUTAm,0.016,0.016,0.016,0.016,0.0086468085106383,0.0086468085106383,Leucine degradation
LEUt5m,0.016,0.016,0.016,0.016,0.0086468085106383,0.0086468085106383,Mitochondrial transporters - uncharacterised
LEUtec,0.016,0.016,0.016,0.016,0.0086468085106383,0.0086468085106383,Boundary conditions - essential amino acids
LGTHLm_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Glycine degradation
LPCOXc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
LYSOXc_MitoCore,0.0,0.0,0.0,0.0,0.0,0.0,Lysine degradation (L-pipecolate pathway)
LYStiDF,0.03,0.03,0.030000000000000002,0.030000000000000002,0.008603773584905659,0.008603773584905659,Boundary conditions - essential amino acids
LYStmB_MitoCore,0.03,0.03,0.030000000000000002,0.030000000000000002,0.008603773584905659,0.008603773584905659,Mitochondrial transporters - characterised
L_LACt2r,0.575,0.575,0.575,0.575,0.3718197879858657,0.3718197879858657,Boundary conditions - core
MACACI,0.0,0.0,0.0,0.0,0.022858823529411765,0.022858823529411765,Tyrosine degradation
MALSO3tm,0.0,0.0,-0.001,0.0,0.0,-0.001,Mitochondrial transporters - characterised
MALSO4tm,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
MALTSULtm,0.0,0.0,0.0,0.0,0.0,0.0,Mitochondrial transporters - characterised
MAL_Lte,0.0,0.0,0.0,0.0,0.0,0.0,Boundary Conditions - Biomarkers
MALtm,-0.10500000000016163,-0.009000000000000001,-0.10400000000009291,-0.009000000000000001,-1.5755218223088319,-0.7946287824770741,Mitochondrial transporters - characterised
MCCCrm,0.016,0.015999999999999043,0.016,0.016,0.0086468085106383,0.0086468085106383,Leucine degradation
